"City","Population","Elevation","AdministrativeDivision","Country"
"Passos",106290,7.3e2,"Minas Gerais, Brazil","Brazil"
"Simoes Filho",97624,87.,"Bahia, Brazil","Brazil"
"Itabira",109783,7.9e2,"Minas Gerais, Brazil","Brazil"
"Trindade",104488,7.6e2,"Goias, Brazil","Brazil"
"Ourinhos",110282,4.5e2,"São Paulo, Brazil","Brazil"
"Erechim",97916,7.9e2,"Rio Grande Do Sul, Brazil","Brazil"
"Araxa",103287,9.6e2,"Minas Gerais, Brazil","Brazil"
"Porto Seguro",145431,47.,"Bahia, Brazil","Brazil"
"Votorantim",117794,6.2e2,"São Paulo, Brazil","Brazil"
"Ji‐Parana",131560,1.4e2,"Rondonia, Brazil","Brazil"
